country_code,year,gdp_current_usd,gdp_per_capita_usd,agriculture_pct_gdp,population
EAP,1977,291532735013.151,225.24,30.4496482937482,1294303118
EAP,1978,282919061354.682,215.18,28.134086780405,1314775496
EAP,1979,327589016955.703,245.27,30.9911476667547,1335637622
EAP,1980,377947161288.534,278.68,28.2534598287619,1356226475
EAP,1981,403551450432.948,292.96,28.1741157964594,1377473854
EAP,1982,423850572150.819,302.52,28.5210194174514,1401081634
EAP,1983,443839881509.845,311.47,29.7648950668157,1424971585
EAP,1984,480915094642.189,332.15,29.2533785884695,1447871073
EAP,1985,526600751089.372,357.91,27.2992305268244,1471340337
EAP,1986,525182739596.105,351.03,25.7760747613387,1496124294
EAP,1987,519033465046.499,340.94,25.6396653598337,1522374575
EAP,1988,576126858481.928,371.93,24.9013245058576,1549038591
EAP,1989,622836056673.595,395.43,23.2391148462883,1575101307
EAP,1990,667410241508.278,416.94,23.2675519343762,1600739173
EAP,1991,724654932688.966,445.8,21.3905557762308,1625498444
EAP,1992,812994672964.462,493.06,19.7802273637242,1648872786
EAP,1993,892446273872.149,533.89,17.5924872938199,1671604370
EAP,1994,1074481772219.03,634.2,17.7860187918861,1694244506
EAP,1995,1325739943462.75,772.3,17.9454794505929,1716602413
EAP,1996,1523108085146.29,876.04,17.6434657380942,1738632397
EAP,1997,1576765689230.4,895.63,16.8381918132003,1760512371
EAP,1998,1441284604894.45,809.01,16.8575454811665,1781546477
EAP,1999,1587766769203.35,881.64,15.9682441613794,1800932833
EAP,2000,1748618348986.43,961.3,14.3969741789355,1819011507
EAP,2001,1862932027297.4,1014.52,13.805816458255,1836260943
EAP,2002,2063860728539.44,1114.0,13.3829772133247,1852659155
EAP,2003,2337899791147.23,1251.28,12.6797941592869,1868409996
EAP,2004,2712364424518.89,1439.93,12.9536983869207,1883675167
EAP,2005,3140094784139.39,1653.68,11.8122099317192,1898853723
EAP,2006,3783276519033.74,1976.63,11.0512287674067,1914002124
EAP,2007,4787054921838.08,2481.39,10.8694877538081,1929185103
EAP,2008,6062017772754.35,3117.83,10.9561579927583,1944305887
EAP,2009,6581352893096.84,3359.52,10.5094097721063,1959017463
EAP,2010,8008611577123.89,4057.87,10.1975256492388,1973602166
EAP,2011,9774259220654.2,4913.89,10.0929434104252,1989106668
EAP,2012,10905337947546.2,5434.83,9.88587924415657,2006566431
EAP,2013,12047512338954.1,5952.77,9.61477690185887,2023850158
EAP,2014,13004689014662.5,6373.65,9.25058121137672,2040383789
EAP,2015,13548904084321.4,6589.77,8.90602675144431,2056050896
EAP,2016,13844122751569.4,6683.18,8.62209317549261,2071486140
EAP,2017,15115625540264.8,7241.93,8.08616891121846,2087238522
EAP,2018,16902110052652.3,8045.95,7.61395188703277,2100698838
EAP,2019,17503274977303.3,8286.4,7.66612787248709,2112289891
EAP,2020,17805166443182.2,8391.28,8.2388308707893,2121866294
EAP,2021,21231425978691.4,9974.58,7.78065032198342,2128553744
EAP,2022,21563881384135.8,10106.99,7.78071122818702,2133560408
EAP,2023,21644412635340.6,10125.91,7.56561603757774,2137527754
EAP,2024,22260810771875.1,10396.8,7.47924991372343,2141122258
EAR,1970,296902005244.168,238.29,26.8857383752289,1245960808
EAR,1971,319666547823.284,250.49,25.7325192486791,1276141826
EAR,1972,352709582632.978,269.86,24.6349132038003,1307009646
EAR,1973,451330007897.131,336.9,24.1580176969305,1339671375
EAR,1974,632677956824.657,460.73,21.1058660947948,1373219822
EAR,1975,677326175290.985,481.18,20.8309333245214,1407636737
EAR,1976,739999717047.563,512.91,18.4577017202518,1442753987
EAR,1977,827431694414.616,559.65,18.8390923627344,1478479688
EAR,1978,944725702178.608,623.76,18.5330634645102,1514572817
EAR,1979,1111836214805.12,716.3,17.4346905777195,1552194676
EAR,1980,1382501835902.97,868.43,15.3562678547473,1591961664
EAR,1981,1531909890330.96,937.46,14.9679349297932,1634107159
EAR,1982,1460539930822.8,870.65,15.3597575131546,1677532811
EAR,1983,1474006434239.97,856.43,15.6991888948744,1721104015
EAR,1984,1494712751952.32,846.73,15.652160180143,1765269111
EAR,1985,1490483608577.59,823.46,16.1075534464841,1810019176
EAR,1986,1498034888889.96,807.4,16.8458017395605,1855391159
EAR,1987,1521911883272.76,800.41,16.5407650874253,1901405537
EAR,1988,1606574808086.1,824.76,16.888980895521,1947928955
EAR,1989,1634255193569.59,819.31,16.7188923487242,1994666990
EAR,1990,1915433566099.57,936.99,15.6722276109471,2044241467
EAR,1991,2032104613561.74,971.32,14.3970941476543,2092102478
EAR,1992,2207967005422.93,1032.31,13.6364922933163,2138854231
EAR,1993,2381953146975.35,1090.31,12.6561486887316,2184656122
EAR,1994,2502107597947.33,1122.67,12.6851679165626,2228719169
EAR,1995,2616825349456.6,1150.91,12.718238674154,2273692181
EAR,1996,2836341459574.38,1221.88,12.7407559279588,2321284245
EAR,1997,3029966854142.86,1278.98,12.0012414260934,2369042441
EAR,1998,2921281348182.23,1209.08,11.9747326249052,2416119734
EAR,1999,3090855529444.24,1255.07,11.3700174459946,2462704115
EAR,2000,3378295866754.26,1346.24,10.4997711656631,2509431470
EAR,2001,3351822804548.09,1311.18,10.2572784584652,2556335424
EAR,2002,3255787156323.37,1251.3,10.5754143439409,2601917557
EAR,2003,3622513779274.76,1368.48,10.7036223972069,2647109296
EAR,2004,4209733389066.63,1563.11,10.0142936084363,2693184997
EAR,2005,4897834756101.33,1788.28,9.59668640457529,2738846905
EAR,2006,5600388912441.22,2011.11,9.28126709520581,2784726644
EAR,2007,6631053551528.64,2342.69,9.54745101891803,2830531957
EAR,2008,7461798613306.43,2594.56,9.41810355163713,2875943965
EAR,2009,7179119134034.64,2457.29,10.3110776326177,2921563644
EAR,2010,8719722451021.04,2938.8,10.378100273426,2967104472
EAR,2011,9832704039068.24,3262.91,10.1279141992918,3013476947
EAR,2012,10275142735646.4,3359.13,9.89007005162801,3058869436
EAR,2013,10330333855700.2,3328.42,10.0880061416666,3103677284
EAR,2014,10533364326771.5,3347.33,10.304557324509,3146800078
EAR,2015,10127250782286.2,3174.37,10.5948337484177,3190318707
EAR,2016,10423237803666.1,3223.98,10.8469942860175,3233033717
EAR,2017,11320553240043.8,3457.65,10.7170908608682,3274060446
EAR,2018,11478917653356.5,3463.51,10.4068347929636,3314245247
EAR,2019,11686574879191.1,3483.32,10.8107690863619,3355014793
EAR,2020,10823343545638.3,3187.04,12.0261680289765,3396051187
EAR,2021,12695008338487.8,3698.98,11.3926045443454,3432026092
EAR,2022,14034689936337.3,4043.83,10.8304142359088,3470644834
EAR,2023,14933453330998.3,4252.6,10.7059295734725,3511607650
EAR,2024,15808304487948.1,4450.19,10.8126207052043,3552278604
ECA,1970,235133242045.119,1508.05,20.2001422091892,155918823
ECA,1971,235133242045.119,1484.16,20.2001422091892,158428591
ECA,1972,235133242045.119,1460.01,20.2001422091892,161049046
ECA,1973,235133242045.119,1437.23,20.2001422091892,163601189
ECA,1974,235133242045.119,1415.43,20.2001422091892,166121814
ECA,1975,235133242045.119,1394.67,20.2001422091892,168594458
ECA,1976,235133242045.119,1374.09,20.2001422091892,171119860
ECA,1977,235133242045.119,1353.46,20.2001422091892,173726978
ECA,1978,235133242045.119,1333.59,20.2001422091892,176315643
ECA,1979,235133242045.119,1315.25,20.2001422091892,178774505
ECA,1980,235133242045.119,1296.86,20.2001422091892,181309432
ECA,1981,235133242045.119,1279.66,20.2001422091892,183746315
ECA,1982,235133242045.119,1262.31,20.2001422091892,186272610
ECA,1983,235133242045.119,1244.22,20.2001422091892,188979984
ECA,1984,235133242045.119,1226.21,20.2001422091892,191755370
ECA,1985,235133242045.119,1208.75,20.2001422091892,194525195
ECA,1986,235133242045.119,1191.48,20.2001422091892,197344981
ECA,1987,235133242045.119,1174.53,20.2001422091892,200194022
ECA,1988,260714658021.753,1284.37,19.9200971173407,202990335
ECA,1989,296012494754.96,1438.82,20.5569054809191,205733205
ECA,1990,354156720158.529,1700.94,21.7601247049144,208212866
ECA,1991,341086296065.275,1622.91,20.9780473356878,210169114
ECA,1992,328451120556.593,1549.06,19.475255573873,212032319
ECA,1993,339235852060.503,1589.7,18.477643728011,213395945
ECA,1994,265716719680.272,1239.76,17.2934506626052,214329901
ECA,1995,373845229870.828,1737.89,13.6917490119529,215114964
ECA,1996,395413043255.679,1830.6,13.7694521271231,216002100
ECA,1997,420614588838.233,1941.25,12.7068296019705,216672059
ECA,1998,421386465145.892,1940.94,13.502035259802,217104725
ECA,1999,384488217104.006,1767.11,12.4876050579798,217579952
ECA,2000,391259402609.02,1790.77,11.7830973025623,218486598
ECA,2001,335649212545.439,1529.61,11.2100161845464,219435056
ECA,2002,390532064568.536,1771.92,11.3824808494056,220400259
ECA,2003,498092410579.851,2249.74,10.5588500963968,221399692
ECA,2004,641341376416.645,2883.56,10.0467677595998,222413290
ECA,2005,798897294908.649,3576.72,9.51873750706303,223360135
ECA,2006,929637643372.55,4142.45,8.39938198502281,224417513
ECA,2007,1171542215920.56,5206.48,7.75304359706211,225016072
ECA,2008,1402429749896.0,6191.07,7.60117802472286,226524480
ECA,2009,1169814065612.09,5125.12,8.13914375254926,228250911
ECA,2010,1385078523367.67,6019.29,8.94166719005802,230106440
ECA,2011,1574244960285.95,6785.88,8.64695145171495,231988438
ECA,2012,1658983451713.25,7093.46,8.25702496199668,233875199
ECA,2013,1808692800315.95,7667.03,7.76023867803137,235905150
ECA,2014,1735229369225.69,7290.9,7.97066571939136,237999321
ECA,2015,1510474002479.16,6291.46,8.50627730625609,240083379
ECA,2016,1450171284448.8,5986.9,8.27438850029128,242224182
ECA,2017,1499595960769.3,6138.12,7.65131431815789,244308649
ECA,2018,1477488205993.51,5996.29,7.35448287199092,246400484
ECA,2019,1508679974755.36,6069.27,7.6119783527836,248576676
ECA,2020,1446077189727.52,5776.19,8.0721594735132,250351240
ECA,2021,1680958734568.53,6673.97,7.52775235377457,251867727
ECA,2022,1820242864725.09,7266.02,7.65455761177535,250514347
ECA,2023,2143244215113.25,8617.05,7.05502363588276,248721385
ECA,2024,2451180144505.47,9793.69,6.56527607843324,250281521
EMU,1970,645500835842.668,2211.87,2.66683418642938,291834356
EMU,1971,731657047532.379,2492.73,2.66683418642938,293516097
EMU,1972,883626753918.737,2990.0,2.66683418642938,295527442
